Price,District,DistrictCode,Size,StationDistance,BuildYear,Reform
27,台東区,D06,25,6,2018,0
34,台東区,D06,35,6,2009,0
34,台東区,D06,35,6,2009,0
26,台東区,D06,25,5,2017,0
60,台東区,D06,80,6,2003,0
29,墨田区,D07,30,11,2006,0
30,墨田区,D07,30,8,2015,0
20,墨田区,D07,20,5,2009,0
27,墨田区,D07,25,3,2013,0
16,墨田区,D07,15,4,1990,0
34,墨田区,D07,25,5,2023,0
94,墨田区,D07,85,0,2001,0
36,墨田区,D07,15,7,1989,1
29,墨田区,D07,25,10,2007,0
68,墨田区,D07,70,10,1999,0
120,墨田区,D07,100,9,2005,1
25,墨田区,D07,20,10,2012,0
28,墨田区,D07,25,9,2018,0
44,墨田区,D07,50,3,2006,0
27,墨田区,D07,25,9,2018,1
81,墨田区,D07,75,2,1999,1
65,墨田区,D07,70,1,2000,0
42,墨田区,D07,35,4,2009,0
65,墨田区,D07,65,2,2002,0
53,墨田区,D07,60,3,1997,0
47,墨田区,D07,45,1,2018,0
54,墨田区,D07,60,4,1996,0
31,墨田区,D07,25,4,2022,0
27,墨田区,D07,25,4,2022,0
27,墨田区,D07,25,4,2022,0
33,墨田区,D07,35,6,2009,0
35,墨田区,D07,45,4,1984,1
20,墨田区,D07,20,5,1998,0
38,墨田区,D07,45,7,1978,1
21,墨田区,D07,50,5,1978,0
22,墨田区,D07,35,8,1978,1
14,墨田区,D07,30,5,1980,0
11,墨田区,D07,35,8,1978,0
42,墨田区,D07,35,5,2008,0
22,墨田区,D07,20,3,2004,0
23,墨田区,D07,20,2,2008,0
20,墨田区,D07,20,3,2004,0
29,墨田区,D07,50,6,1985,1
7,墨田区,D07,15,4,1988,0
45,墨田区,D07,55,8,1980,1
21,墨田区,D07,25,4,2014,0
20,墨田区,D07,25,4,2014,0
34,墨田区,D07,65,8,1998,0
26,墨田区,D07,25,4,2014,1
20,墨田区,D07,60,2,1983,0
40,墨田区,D07,40,4,2016,0
22,墨田区,D07,20,6,2008,1
24,墨田区,D07,25,4,2014,0
45,墨田区,D07,55,6,1984,1
15,墨田区,D07,20,8,1990,1
75,墨田区,D07,65,3,2017,0
57,墨田区,D07,60,9,1997,1
14,墨田区,D07,60,4,1982,1
31,墨田区,D07,25,3,2016,0
24,墨田区,D07,20,2,2005,0
24,墨田区,D07,20,3,2009,0
34,墨田区,D07,60,5,1976,0
25,墨田区,D07,25,5,2013,1
24,墨田区,D07,25,2,2005,0
53,墨田区,D07,55,2,1998,0
37,墨田区,D07,35,2,2011,0
39,墨田区,D07,50,6,1972,1
20,墨田区,D07,20,5,2009,0
13,墨田区,D07,15,4,1991,0
59,墨田区,D07,55,2,2003,1
29,墨田区,D07,25,8,2022,0
28,墨田区,D07,30,3,1997,0
32,墨田区,D07,50,2,1991,1
22,墨田区,D07,20,3,2010,0
32,墨田区,D07,25,7,2022,0
23,墨田区,D07,25,3,2010,0
22,墨田区,D07,20,7,2011,0
5.2,墨田区,D07,15,5,1995,0
24,墨田区,D07,20,7,2011,0
25,墨田区,D07,25,7,2016,0
24,墨田区,D07,25,7,2016,0
40,墨田区,D07,65,2,1999,0
31,墨田区,D07,25,7,2022,0
37,墨田区,D07,50,5,1989,1
46,墨田区,D07,80,6,1985,1
24,墨田区,D07,25,3,2012,0
25,墨田区,D07,55,6,1985,0
39,墨田区,D07,30,3,2022,0
45,墨田区,D07,40,1,2015,0
48,墨田区,D07,50,5,2019,0
24,墨田区,D07,25,6,2015,0
43,墨田区,D07,55,5,1995,1
14,墨田区,D07,15,6,2007,1
24,墨田区,D07,25,6,2017,0
63,墨田区,D07,80,2,2003,0
24,墨田区,D07,35,4,1989,1
25,墨田区,D07,15,14,2007,1
64,墨田区,D07,60,8,2014,0
27,墨田区,D07,25,7,2016,0
88,墨田区,D07,75,8,2006,0
